config,waypoint_index,success,position_error,orientation_error_rad,position_bad,orientation_bad,target_x,target_y,target_z
pose_zero_tcp_diagnostic,1,1,0.000231929,0.000146545,0,0,-0.189888532,-0.012816252,1.188945374
pose_zero_tcp_diagnostic,2,1,0.000465153,0.000116199,0,0,-0.174300289,-0.018425554,1.196555538
pose_zero_tcp_diagnostic,3,1,0.001622292,0.000350877,0,0,-0.144757553,-0.031774679,1.211174706
pose_zero_tcp_diagnostic,4,1,0.001059345,0.000101875,0,0,-0.12382369,-0.041186133,1.221650447
pose_zero_tcp_diagnostic,5,1,0.001202065,9.4095e-05,0,0,-0.10244955,-0.050413239,1.231610489
pose_zero_tcp_diagnostic,6,1,0.000330451,2.7123e-05,0,0,-0.069317396,-0.063455038,1.243489471
pose_zero_tcp_diagnostic,7,1,0.00173773,8.1408e-05,0,0,-0.04670997,-0.070510163,1.248003617
pose_zero_tcp_diagnostic,8,1,0.001285489,7.1865e-05,0,0,-0.012868649,-0.078707415,1.250610509
pose_zero_tcp_diagnostic,9,1,0.000812619,6.2627e-05,0,0,0.009018573,-0.083493864,1.250389012
pose_zero_tcp_diagnostic,10,1,0.000899515,9.019e-05,0,0,0.028181822,-0.087495545,1.249661883
pose_zero_tcp_diagnostic,11,0,0.02000582,0.007771889,1,0,0.051368655,-0.092234817,1.250001942
pose_zero_tcp_diagnostic,12,0,0.032916122,0.017813776,1,0,0.066169877,-0.095778209,1.249041299
pose_zero_tcp_diagnostic,13,0,0.050065197,0.029689225,1,0,0.087631023,-0.102173833,1.236271522
pose_zero_tcp_diagnostic,14,0,0.059144263,0.038867158,1,0,0.100571103,-0.105611097,1.222485662
pose_zero_tcp_diagnostic,15,0,0.065225237,0.048428849,1,0,0.108513777,-0.108872277,1.207163254
pose_zero_tcp_diagnostic,16,0,0.063599786,0.110182785,1,1,0.10797745,-0.112388921,1.188192895
